Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
1,50,25,11,24,20,27,7,11,1,3,2,3,2.8,56,27.6,19.5,13.3,6.5,8.5,6,11.6,19.4,33
1,54,25,11,26,18,25,8,11,3,5,2,3,2.1,59,31.2,17.3,12,6.2,7.8,4.1,9.4,16.8,29.2
1,48,25,9,21,18,28,6,9,1,3,2,3,2.3,55,29,15.6,11.2,6,6.8,3.5,9.2,15.5,29
1,51,26,10,22,16,26,7,10,1,2,2,3,2.4,57,31,16.9,11.3,5.2,6.8,4.1,9,16.9,26.9
1,51,26,9,24,17,26,6,10,2,3,2,3,2.3,60.5,33.1,18.5,12.2,5.5,6.8,4.5,11.1,17.5,31.5
1,52,27,10,25,18,26,6,12,1,4,2,3,2.8,62.5,37.1,19.4,12.1,6.6,7.2,4.2,11.2,17.5,29.5
1,52,25,9,22,19,27,6,8,2,4,2,2,2.2,62.8,35.3,17.9,12.3,7.6,8,4.2,10.3,17,27.8
1,52,24,11,26,18,27,7,8,1,4,2,3,2.3,65,36.9,19.2,13.8,6.2,7.2,4.2,9.2,15,30.5
1,52,21,9,21,18,25,7,10,1,3,2,3,2.2,58,32.2,18.3,12.1,5.7,7.7,4.3,10.7,16.3,28
1,56,22,10,25,22,20,6,11,2,5,2,4,2.5,59,32,18.8,12.5,7.5,7.6,4.2,11,18,29
1,49,23,10,22,17,28,6,11,2,4,2,3,2.1,57,31.5,18.2,12.5,6.2,6.8,3.5,11,16.6,30.5
1,50,26,8,24,18,27,6,11,1,4,2,2,2.1,56.2,30,17.2,11.4,6.3,6.5,3.9,9.7,14.5,28.8
1,53,26,8,25,18,25,7,14,2,4,2,4,2.1,61.2,32.4,18.6,12,6.1,7.4,4,9.1,18,29
1,51,26,9,26,20,23,6,12,1,4,2,3,2,58,32,17.5,12,6,7,4,10,16.3,28.2
1,53,26,10,24,20,27,7,13,1,4,2,2,2,45.8,23.2,15.3,10.4,5,6,3.2,7,15,25.5
1,52,25,9,24,18,27,7,12,1,4,2,4,2,58.3,33.8,17.6,11.4,5.6,6.9,4,9,18.2,30
