Species_num,MBS,VSN,CSN,GSN,FPNr,SDLr,SCSr,SCGr,SMr,MTr,PA,PTMr,aNDSr,SVL,TRL,HL,PL,ESD,HW,HH,MO,FFL,HFL
1,54,22,10,25,18,27,6,10,1,4,2,3,2,52.8,25.8,18,12.8,6.2,7.9,4.8,10.5,17.2,31.5
1,49,25,12,24,17,25,9,10,2,5,2,2,2.3,62,29,21.1,14,7.2,9.1,5.1,10.2,20,33
1,50,25,9,25,19,27,6,12,1,2,2,2,2.3,60,29.5,19.9,13.9,7.5,8.6,4.9,11,19.9,34
1,49,24,11,21,20,25,5,12,2,3,1,4,2,61.5,29.8,21.5,14.8,7.2,9.8,4.8,11.1,19.5,33.2
1,50,22,9,26,19,25,5,7,1,4,3,4,2,56,27.2,19.2,16,7.8,8.6,4.9,10.5,19.2,34.2
1,48,24,13,23,18,27,7,10,2,4,2,3,2.3,58.2,30.6,19.9,14,7,8.5,4.5,12,20.2,34.5
1,59,22,11,23,21,28,5,11,1,3,2,3,2,59.8,30,20,13.8,7.6,8.2,5.1,12.1,19.8,35.2
1,50,24,11,22,17,24,6,10,1,4,2,3,2,58.5,28,19.1,14,7.5,9.8,4.5,12.5,19.5,30.5
1,52,22,11,24,20,26,6,11,1,3,2,3,2.4,59,29,19.9,13.9,7.8,9.1,4.9,12.8,19.5,35
1,53,23,10,24,18,27,6,10,1,3,2,3,2.2,62,30.5,21.2,15.2,7.7,8.8,4.5,12.5,20,34.8
1,55,22,12,26,18,27,6,10,1,3,2,3,2.2,60,30,20.2,15,7.8,9.3,6,11.9,20,37
1,50,22,9,25,19,27,6,10,1,3,2,3,2.4,59,28,19.8,13.8,7,8.8,4.8,11.1,19.2,34.5
1,52,22,10,24,18,27,5,9,2,3,2,4,2.3,61,30.5,20.2,14.5,7.1,8.1,5.1,13.3,19.5,34.8
1,51,23,11,30,19,24,6,10,1,3,2,4,2.3,61,29.2,21.6,14.3,7.2,9,5.5,11.8,20.2,32.5
1,54,25,10,27,19,26,7,13,2,4,2,2,2.1,62,31,29,14.2,7,9.2,5.1,12.1,21.8,35
1,60,23,10,24,21,27,6,10,1,3,2,3,2.2,58,29.1,20.2,13.9,7.2,9.7,4.9,11.2,20.9,33.5
1,57,23,11,27,20,26,6,10,1,2,1,4,2.3,60,29,21,14.9,7.8,9.2,5,13,18.8,35.6
1,49,23,9,21,17,25,7,12,1,3,2,3,2.3,55.8,27.3,19.1,12.5,6.3,7.6,4.3,10,20.4,31.1
1,50,23,7,24,18,26,5,14,1,3,2,2,2.2,60.5,29,22,14.4,7.3,8.8,5,13.6,20.9,34.5
1,50,25,10,27,18,27,5,11,2,4,2,4,2.4,64.2,34,22.2,15,8.2,10,5.3,10.5,20,36.5
1,54,23,9,23,19,23,8,14,0,3,2,5,3,53,21,23.5,12.6,6.1,7,4,9.7,18,31
1,53,22,9,24,21,23,6,11,1,3,2,3,3,59.6,29,21,14.6,8.5,9.6,5.5,11.2,21.2,35
